,stars,Alcohol,BikeParking,BusinessAcceptsCreditCards,BusinessParking,Caters,GoodForKids,HasTV,NoiseLevel,RestaurantsAttire,OutdoorSeating,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,WiFi,romantic,intimate,classy,hipster,divey,touristy,trendy,upscale,casual
0,2.9444444444444446,1,0,1,2,0,2,0,3,1,0,0,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0
1,4.163120567375887,3,2,2,2,0,0,0,2,1,0,0,2,1,0,2,0,1,0,0,0,0,2,0,0,0,0
2,4.578512396694215,1,2,2,2,2,2,0,1,1,2,0,2,0,2,0,2,1,0,0,0,0,0,0,0,0,2
3,3.75,1,2,1,1,1,1,0,0,0,2,2,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1
4,3.6206896551724137,1,2,2,2,2,2,0,1,1,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,2
5,3.3559322033898304,1,2,2,2,2,2,0,1,1,2,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,2
6,3.9667673716012084,3,2,2,2,2,2,0,1,1,2,0,2,1,0,0,2,1,0,0,0,0,0,0,2,0,2
7,4.5,0,1,1,1,1,1,1,0,0,1,2,1,4,1,1,2,0,1,1,1,1,1,1,1,1,1
8,2.9611650485436893,1,2,2,2,0,2,0,0,0,2,2,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0
9,4.277777777777778,0,2,2,0,2,1,1,0,0,1,0,1,0,1,1,2,0,1,1,1,1,1,1,1,1,1
10,3.1206896551724137,3,2,1,2,2,2,2,1,1,2,2,2,1,0,1,2,1,0,0,0,0,0,0,0,0,2
11,4.037037037037037,1,2,1,2,0,2,0,1,1,0,0,2,1,0,2,2,2,0,0,0,0,0,0,0,0,2
12,3.382978723404255,1,0,2,2,0,2,0,1,1,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,2
13,3.496124031007752,3,2,2,2,2,0,2,1,1,2,0,2,1,2,2,2,1,0,0,0,0,0,0,0,0,2
