stars,Alcohol,BikeParking,BusinessAcceptsCreditCards,BusinessParking,DogsAllowed,GoodForKids,HasTV,NoiseLevel,OutdoorSeating,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,WiFi
2.944444444,0,-1,0,1,0,1,-1,2,-1,-1,1,0,1,0,1,2
4.163120567,2,1,1,1,0,-1,-1,-1,-1,-1,1,4,-1,1,-1,2
4.578512397,0,1,1,1,-1,1,-1,1,1,-1,1,2,1,-1,1,2
3.75,0,1,0,0,1,0,-1,0,1,1,0,3,-1,0,1,2
3.620689655,0,1,1,1,0,1,-1,1,-1,1,1,2,-1,-1,1,2
3.355932203,0,1,1,1,0,1,-1,1,1,-1,1,2,-1,0,1,2
3.966767372,2,1,1,1,1,1,-1,1,1,-1,1,3,-1,-1,1,2
4.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2.961165049,0,1,1,1,0,1,-1,0,1,1,1,1,-1,0,1,-1
4.277777778,0,1,1,0,-1,0,0,0,0,-1,0,1,0,0,1,0
3.120689655,2,1,0,1,0,1,1,1,1,1,1,2,-1,0,1,2
4.037037037,0,1,0,1,0,1,-1,1,-1,-1,1,2,-1,1,1,-1
3.382978723,0,-1,1,1,0,1,-1,1,-1,-1,1,1,-1,0,1,2
3.496124031,2,1,1,1,1,-1,1,1,1,-1,1,2,1,1,1,2
3.780487805,0,1,0,1,-1,1,-1,1,-1,-1,1,2,1,1,1,2
4.651515152,0,1,1,0,0,1,-1,2,-1,-1,-1,1,-1,-1,1,-1
3.19047619,0,1,0,0,0,1,-1,1,1,-1,1,2,-1,1,1,-1
2.604166667,2,1,1,1,0,1,1,1,-1,-1,1,2,-1,0,1,-1
4.227272727,0,1,1,1,0,1,-1,2,1,-1,1,1,-1,0,1,2
4.157407407,0,1,1,1,0,1,-1,1,1,1,1,2,-1,-1,1,-1
4.503225806,1,1,1,1,0,1,1,1,1,1,1,2,-1,1,1,2
4.166666667,0,1,0,1,0,1,1,1,1,-1,1,1,-1,0,1,2
4.205882353,0,1,1,1,0,1,-1,1,-1,-1,1,1,-1,0,1,2
4.055555556,0,0,0,1,0,1,-1,1,1,-1,-1,2,-1,0,1,2
3.5,0,-1,0,1,0,1,-1,2,-1,-1,1,2,-1,0,1,-1
3.111111111,0,-1,1,1,-1,1,1,2,-1,-1,1,1,-1,1,1,2
3.209302326,0,1,1,1,0,1,1,1,1,-1,1,1,-1,0,1,2
4.833333333,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
3,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0
3.482758621,1,1,0,0,0,1,1,1,-1,1,1,1,-1,0,1,-1
2.945205479,0,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,-1
2.703296703,0,1,1,1,0,1,1,1,-1,-1,1,1,-1,0,1,2
3.866666667,1,1,1,0,0,1,1,1,1,-1,1,2,-1,0,1,-1
4.125439625,0,1,1,1,0,1,-1,1,1,1,1,2,-1,-1,1,2
4.069767442,0,1,1,0,0,1,1,1,1,-1,1,1,-1,-1,1,2
3.9,0,1,0,1,0,1,1,1,-1,-1,1,2,-1,1,1,2
4.8,0,1,0,1,-1,0,1,0,1,-1,1,2,1,1,1,2
1.9375,0,1,1,1,0,1,-1,1,1,-1,1,2,-1,0,1,2
2.545454545,0,1,1,0,0,1,-1,1,-1,-1,1,1,-1,0,1,2
2.6,0,0,1,0,0,1,0,0,-1,-1,1,1,-1,0,1,-1
2.923076923,0,1,1,1,0,1,-1,1,1,1,1,1,-1,-1,1,2
3.557377049,2,1,0,1,-1,1,1,1,1,-1,1,2,1,1,1,2
3.615384615,0,-1,0,0,0,1,1,1,-1,-1,-1,1,-1,-1,1,2
3.875,0,1,1,1,0,1,-1,1,-1,-1,1,1,-1,0,1,2
4.453,2,1,0,1,-1,1,-1,-1,-1,-1,1,2,-1,1,1,2
3.586206897,2,0,0,1,0,-1,-1,1,1,-1,1,3,1,0,-1,0
4.39244186,0,1,1,1,0,1,-1,1,-1,-1,1,1,-1,0,1,2
3.965517241,2,-1,0,1,0,1,1,1,1,-1,1,1,-1,0,1,-1
4.096,2,-1,1,1,0,1,-1,2,1,-1,1,2,1,0,1,2
5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
4.209302326,0,1,0,1,0,1,-1,1,1,1,1,1,-1,0,1,2
4.254545455,0,1,1,1,0,1,1,2,1,1,1,2,1,1,1,2
2.621212121,0,1,1,1,0,1,-1,1,-1,-1,1,1,-1,1,1,2
4.33431085,1,1,1,1,0,-1,-1,1,1,-1,1,2,1,1,1,2
4.133333333,0,-1,1,0,-1,1,-1,0,-1,-1,1,2,-1,-1,1,-1
3.265306122,0,-1,0,1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,-1
3.411764706,0,1,0,1,0,1,1,2,1,-1,1,1,-1,0,1,-1
2.859437751,2,-1,1,1,0,1,1,1,-1,-1,1,2,1,0,1,-1
4.666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.785714286,0,0,0,0,0,1,0,0,-1,1,1,2,1,0,1,0
3.75,2,0,0,0,0,-1,0,0,-1,0,1,2,-1,0,0,0
3.952380952,0,0,-1,1,0,1,-1,1,-1,-1,-1,1,-1,0,1,-1
3.043478261,1,1,1,1,-1,1,1,1,-1,-1,1,2,-1,-1,1,2
3.307692308,2,0,0,1,0,1,1,1,1,-1,1,2,-1,0,1,0
3,0,-1,1,0,0,1,1,1,-1,-1,1,1,-1,0,1,0
4.086956522,2,1,0,0,0,1,1,1,1,1,1,2,1,1,1,2
3.4,2,-1,1,1,1,1,-1,-1,1,1,1,2,-1,0,1,2
3.306306306,0,1,0,1,0,1,-1,1,-1,-1,1,2,-1,-1,1,2
3.835475578,2,1,1,1,0,1,1,1,1,-1,1,2,-1,0,1,2
3.93627451,2,1,1,1,1,1,1,1,1,-1,1,2,1,1,1,2
4.559440559,0,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,2
3.684210526,2,0,0,0,0,-1,0,1,1,-1,-1,3,0,0,0,0
4.028571429,0,1,1,1,0,0,0,0,1,-1,0,2,0,0,1,2
2.669172932,0,1,1,1,0,1,-1,1,-1,-1,1,2,-1,0,1,-1
3.933333333,1,1,0,1,0,1,-1,-1,1,-1,1,2,1,0,1,-1
3.530201342,1,1,1,0,0,1,1,1,1,-1,1,2,-1,0,1,-1
4.25,0,1,0,0,0,1,-1,1,1,-1,1,2,-1,1,-1,2
3.333333333,1,0,1,0,0,1,-1,0,-1,-1,1,1,-1,0,1,-1
2.061538462,0,1,1,1,0,1,1,1,-1,-1,1,2,-1,0,1,2
3.917168675,2,1,1,1,0,1,1,1,-1,-1,1,1,-1,0,1,2
3.313868613,2,1,1,1,1,1,1,1,1,-1,1,2,1,1,1,2
5,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0
3.25,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2.142857143,0,1,1,1,0,1,-1,1,-1,-1,1,1,-1,1,1,2
4.515738499,1,1,0,1,0,1,-1,1,-1,-1,1,2,-1,1,1,-1
3.857988166,1,1,1,1,0,1,-1,1,1,-1,1,1,-1,-1,1,2
4.158730159,2,1,0,1,0,-1,-1,1,1,-1,1,3,1,0,-1,2
4.520408163,0,1,1,0,0,1,-1,1,1,-1,1,1,-1,-1,1,1
4.1,0,1,1,1,0,1,0,0,0,-1,1,1,-1,0,1,0
2.333333333,0,0,0,0,0,1,-1,1,-1,1,1,2,0,0,1,-1
4.3,0,0,0,0,0,0,0,1,0,-1,0,1,0,0,0,0
4.145833333,2,1,0,1,-1,-1,-1,1,-1,-1,1,3,1,1,-1,2
2.920634921,2,1,1,1,0,1,1,1,1,-1,1,2,-1,0,1,2
3.043478261,0,1,0,1,-1,1,-1,1,1,-1,1,1,-1,-1,1,2
3.452261307,2,1,1,1,0,1,1,1,1,-1,1,2,-1,0,1,2
4.295302013,0,1,1,1,0,1,-1,2,1,-1,1,1,-1,-1,1,2
2.727272727,0,-1,1,1,0,1,1,2,-1,-1,1,1,-1,1,1,-1
3.95,2,1,1,1,0,0,-1,-1,-1,0,1,2,-1,0,0,0
4.042682927,2,1,1,1,0,1,1,1,1,-1,1,2,-1,0,1,2
3,0,-1,1,1,0,1,-1,0,-1,-1,1,1,-1,0,1,-1
4.072727273,2,1,1,1,0,1,1,1,1,1,1,2,-1,0,1,2
2.136363636,0,-1,1,1,0,1,-1,1,-1,-1,1,2,-1,0,1,-1
5,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0
3.875,0,0,0,0,0,1,-1,0,-1,-1,1,2,1,0,1,-1
4,0,0,1,0,0,1,0,1,0,-1,1,0,-1,0,0,0
4.4,2,1,1,0,1,0,1,2,1,0,1,2,0,0,0,2
4.143342391,2,1,1,1,0,1,1,1,1,1,1,2,1,0,1,2
4.4,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0
3.36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
4.3,2,0,0,0,0,-1,0,0,0,-1,1,2,1,0,1,0
3.022222222,0,0,1,1,0,1,-1,1,-1,-1,1,1,-1,0,1,-1
4.212765957,0,1,1,1,0,1,1,1,1,1,1,1,-1,-1,1,2
3.65,0,1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,2
4.5,0,1,0,1,-1,1,-1,0,1,-1,-1,2,-1,-1,1,2
2.666666667,0,0,1,0,0,-1,0,0,-1,-1,1,1,0,0,1,0
4.375,0,0,1,0,0,-1,0,0,0,0,1,0,-1,0,0,0
4,2,1,1,1,0,1,1,1,-1,-1,1,2,1,1,1,2
2.684210526,0,1,0,1,0,1,1,1,-1,-1,1,2,1,0,1,-1
3.721518987,2,1,0,1,0,-1,-1,1,1,-1,1,2,1,0,1,2
4.076190476,0,1,1,1,0,1,-1,1,-1,-1,1,1,-1,-1,1,-1
4.4,2,1,1,1,-1,-1,1,1,-1,-1,1,1,-1,1,1,2
4.933333333,0,1,1,1,-1,1,-1,2,-1,1,1,1,-1,-1,1,-1
3.1,2,1,0,1,0,1,1,1,1,-1,1,2,1,0,1,2
2.8,2,0,0,0,0,1,0,1,-1,-1,1,2,1,0,1,0
3.047244094,2,1,0,1,0,1,1,1,1,-1,1,2,1,1,1,2
4.27972028,0,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,2
4.476744186,2,-1,1,1,0,1,1,1,-1,-1,1,1,1,0,1,2
3.5,1,-1,0,0,0,1,1,1,-1,1,1,2,1,0,1,-1
3.458333333,2,-1,1,0,0,-1,1,0,1,-1,1,2,1,0,1,-1
4.222929936,0,1,0,1,0,1,-1,1,-1,-1,-1,2,-1,1,1,2
2,0,1,0,0,0,1,1,2,-1,-1,1,1,-1,0,1,-1
3.779411765,0,0,1,1,0,1,-1,0,-1,-1,-1,2,-1,0,1,2
4.47761194,0,1,1,1,1,1,1,0,1,-1,1,2,1,1,1,2
3.31372549,0,1,1,1,0,1,1,1,-1,1,1,1,-1,1,1,2
2.785087719,0,-1,1,1,0,1,-1,1,-1,-1,1,2,-1,0,-1,-1
4.155660377,0,1,1,1,0,1,-1,-1,1,-1,1,1,-1,-1,1,2
4.367346939,0,1,0,1,0,1,-1,2,1,-1,1,2,1,0,1,2
3.056379822,2,1,1,1,0,1,1,1,1,-1,1,2,1,1,1,-1
4.333333333,0,0,0,0,0,1,0,0,0,0,1,0,-1,0,1,0
3.071428571,0,1,0,0,0,1,-1,-1,-1,-1,1,1,-1,-1,1,2
3.129032258,0,1,1,1,0,1,-1,1,1,-1,1,2,-1,-1,1,2
2.666666667,0,1,0,0,0,0,0,0,-1,0,0,1,0,0,0,2
3.625,2,1,0,1,0,1,1,0,0,1,1,2,1,1,1,-1
2.875,2,1,1,1,0,-1,1,2,1,-1,1,2,1,0,-1,2
3.951515152,2,1,0,1,0,1,1,1,-1,-1,1,2,1,1,1,2
4.117647059,0,-1,0,0,0,1,-1,0,-1,0,-1,2,-1,0,1,-1
3.368421053,2,1,0,0,0,1,1,1,1,-1,1,2,-1,1,1,2
2.130434783,0,-1,0,0,0,1,1,2,-1,-1,1,2,-1,1,1,-1
4,0,1,0,0,0,1,1,0,-1,-1,1,1,-1,0,1,0
4.4,0,1,0,0,0,-1,-1,2,-1,-1,1,1,-1,-1,1,2
3.611764706,0,1,1,1,0,1,1,1,1,1,1,1,-1,0,1,-1
4.25,0,0,1,0,0,1,0,0,-1,-1,1,1,-1,0,1,0
3.916666667,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2
4.150537634,0,1,1,1,1,1,1,1,1,-1,1,2,1,1,1,-1
4.043478261,1,1,1,1,0,1,1,1,1,-1,1,1,-1,1,1,2
3.787234043,0,1,0,1,0,1,0,0,1,-1,-1,2,0,0,1,-1
4.166666667,2,1,0,1,0,-1,-1,1,1,-1,-1,2,-1,0,1,2
4.333333333,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4.432432432,0,1,1,1,0,1,1,2,-1,-1,1,1,1,1,1,-1
3.470588235,2,-1,0,0,0,1,1,1,-1,-1,1,2,1,1,1,2
3.538461538,0,1,1,1,-1,0,0,0,0,1,0,2,0,0,1,0
3.642857143,0,1,1,0,0,1,1,2,1,-1,-1,2,-1,-1,1,2
4.391143911,0,1,1,1,0,1,1,1,-1,-1,-1,1,-1,0,1,-1
3.912371134,0,1,0,1,0,1,-1,1,-1,-1,-1,2,-1,-1,1,2
3.714285714,2,0,0,1,0,1,1,1,1,1,1,2,1,0,1,2
4.555555556,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0
3.8,0,0,0,0,0,1,0,0,1,-1,1,1,-1,0,1,2
2.909090909,0,1,0,1,-1,1,1,1,1,1,1,2,1,-1,1,2
4.66851705,0,1,1,1,1,1,-1,1,1,-1,1,1,-1,0,1,2
3.16,0,-1,1,1,0,1,-1,1,-1,-1,1,1,-1,1,1,-1
2.833333333,2,1,1,1,0,1,-1,1,-1,-1,1,2,1,0,1,-1
3.8,0,1,0,0,0,1,0,0,0,-1,1,1,1,0,1,-1
2.595505618,0,-1,1,1,0,1,-1,1,-1,-1,1,1,-1,0,1,-1
3.657142857,0,-1,0,1,0,1,1,1,-1,-1,1,2,-1,0,1,2
2,0,1,1,1,0,1,-1,1,-1,-1,1,2,1,0,1,-1
3.935064935,0,1,1,0,0,1,1,1,1,-1,1,1,-1,1,1,2
4.587878788,0,1,1,1,0,1,-1,2,1,-1,1,1,-1,1,1,-1
4.690140845,0,-1,1,1,-1,1,1,2,1,-1,1,1,-1,-1,1,2
4.261744966,0,-1,1,1,0,1,1,1,-1,-1,1,2,-1,-1,1,2
4.288702929,2,1,1,1,1,1,1,1,1,-1,1,2,1,1,1,2
3.903846154,2,1,1,1,0,-1,1,-2,1,-1,1,1,-1,0,-1,2
4.318877551,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,-1
5,0,0,1,0,0,0,0,0,0,1,0,0,-1,0,1,-1
4.1,2,-1,1,1,-1,1,1,1,-1,-1,1,1,-1,1,1,2
4.375,2,1,0,1,0,1,-1,2,1,-1,1,2,1,1,-1,2
4.259259259,1,1,0,0,0,1,-1,0,1,-1,1,1,-1,1,1,-1
2.975609756,0,1,0,1,0,-1,-1,2,-1,1,-1,2,-1,0,1,-1
3.5,0,1,0,1,0,1,-1,1,-1,-1,1,2,-1,0,1,-1
3,0,-1,1,0,0,1,1,2,-1,-1,1,1,-1,0,1,2
3.181818182,0,-1,1,0,0,1,-1,0,0,-1,1,1,-1,0,1,0
4.351351351,0,-1,1,1,0,1,-1,1,-1,-1,1,1,-1,0,1,-1
4.384615385,2,1,0,1,0,1,1,1,-1,1,1,2,1,0,1,2
3.033333333,2,1,0,1,0,1,1,1,1,-1,1,2,-1,1,1,2
4.623931624,0,0,1,1,0,1,1,2,1,-1,1,1,-1,0,1,2
3.601102941,2,1,1,1,-1,1,1,1,1,-1,1,2,1,1,1,2
3.923076923,1,0,1,1,0,1,1,1,1,1,1,2,-1,0,1,2
4.615384615,0,1,0,0,0,1,1,0,-1,-1,1,2,-1,0,1,2
4,0,0,0,0,0,1,0,2,0,-1,1,0,-1,0,0,-1
4.164835165,0,1,0,1,0,1,-1,1,-1,-1,1,2,-1,0,1,-1
3.534482759,0,1,0,1,0,1,-1,1,1,-1,1,2,-1,0,1,-1
4.227941176,0,1,1,1,0,1,-1,1,1,-1,1,2,-1,0,1,2
4.555555556,2,1,1,1,1,1,1,0,1,-1,1,2,1,1,1,2
3.440894569,2,1,1,1,0,-1,1,1,1,-1,1,2,1,0,1,2
4.504111842,1,1,1,1,0,1,1,1,1,-1,1,1,-1,0,1,2
3.53125,0,1,1,1,0,1,1,1,1,1,1,1,-1,0,1,2
2.421052632,0,0,1,0,0,1,-1,2,1,0,-1,2,-1,1,1,0
4,0,1,0,1,0,1,1,1,1,-1,1,2,1,1,1,2
3.842857143,2,1,1,1,1,1,1,1,1,-1,1,2,1,1,1,2
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3.571428571,0,-1,1,0,0,1,-1,1,1,-1,-1,1,-1,-1,1,2
4.673913043,0,1,1,1,0,1,-1,2,1,-1,-1,1,-1,0,1,-1
5,0,-1,0,1,-1,1,-1,0,-1,1,1,2,-1,-1,1,2
4.096774194,1,1,1,1,1,1,-1,1,1,-1,1,2,1,1,1,2
